model_rank,model,avg_mean,std_mean,best_mean,worst_mean,n_variants
1,ExtraTrees,0.6737938256655573,0.0011925013238184726,0.672212068919294,0.6747992554314258,4
2,LightGBM,0.6750601172755821,0.0028601811849731117,0.672671638271394,0.6791494547806608,4
3,CatBoost,0.6772746378857226,0.00208094949174265,0.6747261291308396,0.679808497212106,4
4,XGBoost,0.677324280085699,0.0028923737091591825,0.673947157109186,0.6807575877689097,4
5,RandomForest,0.6789808337339175,0.0008442526219962953,0.6780970863772653,0.6801226122391874,4
6,HistGradientBoosting,0.6829610171495877,0.004132089348577469,0.6790917986559997,0.6872091729019666,4
7,Bagging,0.6842877443401383,0.0012332505164922918,0.6829303044124316,0.6855886853251006,4
8,AdaBoost,0.6873664377797056,0.0010276749940953912,0.6859723102417767,0.6882998103225297,4
9,GradientBoosting,0.6945456007182584,0.002807551626348576,0.6923789137933734,0.6985774030634831,4
10,Lasso,0.6951790318975044,0.002570904029110455,0.6933519040479451,0.6989772614382359,4
11,ElasticNet,0.6986031741419099,0.0008313360818198225,0.6977647754211768,0.6995570974466867,4
12,DecisionTree,0.7390641586560763,0.00715369947964981,0.7309011888686603,0.7479752873633505,4
13,MLP,0.7964430046128524,0.012495357491389244,0.7841408524450699,0.8106244145789557,4
14,KNeighbors,0.7968031158991906,0.00621911921660476,0.7912069220570945,0.8051981370438842,4
15,Ridge,0.8464216437786948,0.007902939893624708,0.8386540226312122,0.8570884477063777,4
