feature,mean_abs_shap,acquisition_cost
CPOR_SM,0.5833954947781251,10.0
PHIT,0.12312223903954472,4.0
Zone,0.10794895419177927,
RHOB,0.08111171965833908,2.0
PEF_missing_source,0.06311440077384226,
NPHI,0.06258435049041546,2.0
SWT,0.05214550502956821,6.0
DT,0.03628651486925259,5.0
PEF,0.02703083022109739,3.0
MSFL,0.018160839624875514,3.0
CALI,0.015439611510199302,1.0
CT,0.01478943538775298,2.0
GR,0.012888022168253587,1.0
Source,0.01253376404055043,
RT,0.011953392267250387,2.0
DEPTH,0.010490019587850367,0.0
DRHO,0.009561469784641312,2.0
DT_missing_source,0.008289210278779382,
CT_missing,0.0017016230493512759,
SWT_missing,0.001615877198824592,
RT_missing,0.0014884419178092857,
MSFL_missing_source,0.0005255496823205781,
