cpor_standalone_cost,split_holds,boundary_cost,wireline_max_cost
1.0,False,,
1.1,True,1.1,1.0
1.2,True,1.2,1.0
1.3,True,1.3,1.0
1.4,True,1.4,1.0
1.5,True,1.5,1.0
1.6,True,1.6,1.0
1.7,True,1.7,1.0
1.8,True,1.8,1.0
1.9,True,1.9,1.0
2.0,True,2.0,1.0
2.1,True,2.1,2.0
2.2,True,2.2,2.0
2.3,True,2.3,2.0
2.4,True,2.4,2.0
2.5,True,2.5,2.0
2.6,True,2.6,2.0
2.7,True,2.7,2.0
2.8,True,2.8,2.0
2.9,True,2.9,2.0
3.0,True,3.0,2.0
3.1,True,3.1,3.0
3.2,True,3.2,3.0
3.3,True,3.3,3.0
3.4,True,3.4,3.0
3.5,True,3.5,3.0
3.6,True,3.6,3.0
3.7,True,3.7,3.0
3.8,True,3.8,3.0
3.9,True,3.9,3.0
4.0,True,4.0,3.0
4.1,True,4.1,3.0
4.2,True,4.2,3.0
4.3,True,4.3,3.0
4.4,True,4.4,3.0
4.5,True,4.5,3.0
4.6,True,4.6,3.0
4.7,True,4.7,3.0
4.8,True,4.8,3.0
4.9,True,4.9,3.0
5.0,True,5.0,3.0
5.1,True,5.1,5.0
5.2,True,5.2,5.0
5.3,True,5.3,5.0
5.4,True,5.4,5.0
5.5,True,5.5,5.0
5.6,True,5.6,5.0
5.7,True,5.7,5.0
5.8,True,5.8,5.0
5.9,True,5.9,5.0
6.0,True,6.0,5.0
6.1,True,6.1,5.0
6.2,True,6.2,5.0
6.3,True,6.3,5.0
6.4,True,6.4,5.0
6.5,True,6.5,5.0
6.6,True,6.6,5.0
6.7,True,6.7,5.0
6.8,True,6.8,5.0
6.9,True,6.9,5.0
7.0,True,7.0,5.0
7.1,True,7.1,7.0
7.2,True,7.2,7.0
7.3,True,7.3,7.0
7.4,True,7.4,7.0
7.5,True,7.5,7.0
7.6,True,7.6,7.0
7.7,True,7.7,7.0
7.8,True,7.8,7.0
7.9,True,7.9,7.0
8.0,True,8.0,7.0
8.1,True,8.1,7.0
8.2,True,8.2,7.0
8.3,True,8.3,7.0
8.4,True,8.4,7.0
8.5,True,8.5,7.0
8.6,True,8.6,7.0
8.7,True,8.7,7.0
8.8,True,8.8,7.0
8.9,True,8.9,7.0
9.0,True,9.0,7.0
9.1,True,9.1,9.0
9.2,True,9.2,9.0
9.3,True,9.3,9.0
9.4,True,9.4,9.0
9.5,True,9.5,9.0
9.6,True,9.6,9.0
9.7,True,9.7,9.0
9.8,True,9.8,9.0
9.9,True,9.9,9.0
10.0,True,10.0,9.0
